year,average_salary
2003,41092.665185185186
2004,45476.86739789916
2005,47343.42612133891
2006,43925.021300052744
2007,51349.7792512987
2008,54218.1247982509
2009,66134.18178991597
2010,56504.79616412214
2011,50784.35236805556
2012,59843.29077616279
2013,45319.01803829787
2014,59805.91615019011
2015,62361.59539864865
2016,61363.78856295621
2017,64381.1097375328
2018,66768.669311437
2019,66326.31222404943
2020,84492.07673668546
2021,98782.29877238715
2022,95416.9778860918
2023,106854.0680079515
2024,129183.80419633437
