year,salary
2003,41302.98241859813
2004,43046.925863630044
2005,45001.38432656969
2006,41382.19083579775
2007,44508.490402187344
2008,48465.64467169706
2009,44943.276668503924
2010,44684.68233509341
2011,46946.36403652073
2012,48100.07805431619
2013,49728.340317042595
2014,49383.02939598628
2015,52595.24678831386
2016,56301.19841103824
2017,60406.19028326555
2018,65499.61134685517
2019,69870.37629505765
2020,72772.26644886247
2021,83098.70194381548
2022,91526.14178851627
2023,99054.97565104079
2024,110419.98155204258
